"filename", "language", "TypeScript", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\node\server\transformRequest.ts", "TypeScript", 147, 0, 0, 7, 29, 183
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\node\server\ws.ts", "TypeScript", 221, 0, 0, 24, 20, 265
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\node\shoutcut.ts", "TypeScript", 89, 0, 0, 13, 18, 120
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\node\tsconfig.json", "JSON with Comments", 0, 0, 8, 0, 1, 9
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\node\utils.ts", "TypeScript", 577, 0, 0, 44, 79, 700
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\node\watch.ts", "TypeScript", 13, 0, 0, 11, 2, 26
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\types\alias.d.ts", "TypeScript", 13, 0, 0, 42, 7, 62
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\types\anymatch.d.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\types\chokidar.d.ts", "TypeScript", 58, 0, 0, 137, 35, 230
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\types\connect.d.ts", "TypeScript", 54, 0, 0, 45, 13, 112
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\types\http-proxy.d.ts", "TypeScript", 156, 0, 0, 76, 19, 251
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\types\package.json", "JSON", 0, 3, 0, 0, 1, 4
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\types\shims.d.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"d:\Users\ding.zhao\Code\MyProject\DPack\packages\dpack\src\types\ws.d.ts", "TypeScript", 480, 0, 0, 60, 44, 584
"Total", "-", 8126, 3, 18, 1673, 1167, 10987
